rid,binaryID
2,10
3,100
4,1000
5,10000
6,1000001
7,100000
8,10000010
9,100000100
10,1000001000
11,10000010000
12,100000100000
13,1000001000001
14,10000010000011
15,100000100000111
16,1000001000001110
17,10000010000011101
18,100000100000111010
19,1000001000001110101
20,10000010000011101010
21,100000100000111010101
22,1000001000001110101010
23,10000010000011101010100
24,100000100000111010101000
25,1000001000001110101010000
26,10000010000011101010100000
27,100000100000111010101000000
28,1000001000001110101010000001
29,10000010000011101010100000011
30,1000001000001110101010000001110
31,10000010000011101010100000011100
32,100000100000111010101000000111000
33,1000001000001110101010000001110000
34,10000010000011101010100000011100000
35,10000010000011101010101
36,100000100000111010101010
37,1000001000001110101010100
38,10000010000011101010101001111101
39,1000001000001110101010100111110
40,1000001001
41,10000010011
42,1000001000001110101010000001110001
43,10000010000011101010100000011100010
44,100000100000111010101000000111000100
45,100011
46,10001
47,10001110
48,10000010001
49,10000011
50,100000110
51,1000001100
52,10000011000
53,11
54,100001
55,100000100001
56,1000001000010
57,1000001000011
58,1000001000001111
59,10000010000011101011
60,100000100000111010101001
61,1000001000001110101010010
62,1000001000001110101010011
63,10000010000011101010100001
64,10000010000011101010100000011101
65,100000100000111010101000000111001
66,10000010000011101010100000011100001
67,100000100000111010101000000111000101
68,10000010000011101010100000011100011
69,100000100000111010101000000111000110
70,100000100000111010101000000111000111
71,100000100000111010101000000110
72,1000001000001110101010000001101
73,1000001000001110101010000001111
74,100000100000111010101000001
75,1000001000001110101010001
76,1000001000001110101010100111111
77,10000010000011101010101000
78,100000100000111010101010000
79,1000001000001110101010100000
80,100000100000111010101010001
81,1000001000001110101010100001
82,1000001000001110101010101
83,100000100000111010101011
84,1000001000001110101011
85,100000100000111011
86,100000101
87,100000111
88,1000001101
89,10000011001
90,100000110011
91,10001111
92,1000110
93,10001101
94,100011011
95,1001
96,101
97,100000100000111010101010011
98,10000010000011101010101001111
99,100000100000111010101010011111
100,1000001000001110101010100111
101,10000010000011101010101001
102,100000100000111010101000000111
103,1000111
1,1
