"rid","fromnode","tonode"
1,1,2
2,3,1
3,4,3
4,5,4
5,6,5
6,7,8
7,8,6
8,9,7
9,10,9
10,11,10
11,12,11
12,13,12
13,14,13
14,15,14
15,16,15
16,17,16
17,18,17
18,19,18
19,20,19
20,21,20
21,22,21
22,23,22
23,24,23
24,25,24
25,26,25
26,27,26
27,28,27
28,29,28
29,30,29
30,31,32
31,33,31
32,34,33
33,35,34
34,36,35
35,37,23
36,38,37
37,39,38
38,40,41
39,41,42
40,43,10
41,44,43
42,45,34
43,46,45
44,47,46
45,48,49
46,49,5
47,50,51
48,52,11
49,53,7
50,54,53
51,55,54
52,56,55
53,57,1
54,58,6
55,59,12
56,60,59
57,61,59
58,62,16
59,63,20
60,64,24
61,65,64
62,66,64
63,67,26
64,68,31
65,69,33
66,70,35
67,71,46
68,72,45
69,73,72
70,74,72
71,75,30
72,76,75
73,77,32
74,78,27
75,79,25
76,80,42
77,81,39
78,82,81
79,83,82
80,84,81
81,85,82
82,86,38
83,87,37
84,88,22
85,89,18
86,90,9
87,91,53
88,92,54
89,93,55
90,94,93
91,95,51
92,96,48
93,97,96
94,98,97
95,99,4
96,100,3
97,101,102
98,103,104
99,42,103
100,104,101
101,102,39
102,32,30
103,51,48
