"pointid","xcoord","ycoord"
1,1693627.1201,2349460.528
2,1693451.41689676,2345533.6252161
3,1693687.4367,2349746.5085
4,1693229.5526,2350870.5716
5,1693400.3752,2351437.9981
6,1693314.0838,2353006.5689
7,1693422.8056,2354432.2123
8,1693379.8254,2353801.7004
9,1693327.3524,2356656.3201
10,1693805.4925,2357585.7522
11,1694008.8349,2358425.011
12,1694254.3776,2359422.9935
13,1694045.6805,2360230.5023
14,1694119.134,2360307.1656
15,1694806.6169,2361110.343
16,1694905.9661,2361221.5917
17,1694858.8968,2361281.8274
18,1694849.1252,2361638.5735
19,1694665.3315,2361998.3833
20,1694735.1994,2362160.6783
21,1694712.9084,2362341.7153
22,1694571.0909,2363069.8203
23,1694500.3104,2364256.5048
24,1694284.589,2365431.7762
25,1693216.8081,2370587.2882
26,1693325.4794,2370784.4125
27,1693117.7215,2371413.8912
28,1693140.2401,2372031.8603
29,1693179.7381,2372260.7146
30,1693273.5158,2372984.6244
31,1693472.4875,2373279.5283
32,1693284.8606,2373007.1573
33,1693328.1417,2373729.2888
34,1692593.8355,2375152.7598
35,1692718.9701,2376702.518
36,1690920.7991,2381083.8926
37,1693438.8488,2364491.1641
38,1692247.7438,2366894.7958
39,1691795.34,2367797.1232
40,1687770.8561,2377062.2457
41,1687815.1824,2376770.9229
42,1688725.3973,2374142.61
43,1689353.3928,2361813.3703
44,1688896.808,2362421.407
45,1690798.7897,2376876.4074
46,1690096.5253,2378932.9225
47,1689220.871,2381105.1986
48,1690824.9928,2353615.3453
49,1691164.7113,2353305.894
50,1685081.995,2357246.5323
51,1690799.9967,2353618.6933
52,1688553.3218,2365640.3969
53,1691845.1898,2355264.3107
54,1688877.9008,2357140.6216
55,1688405.8357,2357632.5699
56,1686559.2285,2361244.4312
57,1695258.8385,2351955.0611
58,1694618.0138,2352902.0128
59,1694316.4479,2359539.02
60,1696973.297,2359864.7225
61,1696948.3845,2360938.5757
62,1696817.9998,2362009.8322
63,1697471.7316,2365584.9801
64,1695607.3881,2368061.0989
65,1696116.9646,2369777.9961
66,1695704.3308,2371325.7351
67,1694323.1242,2371821.727
68,1695445.1282,2373531.116
69,1693890.422,2375685.6998
70,1693796.7814,2378459.5655
71,1688821.6839,2380018.2023
72,1690392.9999,2376827.744
73,1688849.1822,2377622.5243
74,1689152.8496,2377873.6545
75,1695245.0386,2372572.2888
76,1695677.4382,2372524.7056
77,1690587.4748,2375446.2445
78,1690902.4913,2374243.549
79,1691231.538,2372166.4392
80,1689835.5159,2375707.9595
81,1690319.9167,2368819.5049
82,1690072.8026,2368790.5239
83,1688756.4722,2370154.8577
84,1687908.0121,2372668.7501
85,1687683.8417,2368804.6672
86,1687670.4161,2368343.2275
87,1691368.4147,2365223.6061
88,1692438.4787,2363269.7289
89,1692884.3912,2363033.9204
90,1691917.679,2357871.7333
91,1691610.4612,2357347.2607
92,1689197.9214,2359415.5066
93,1686777.2729,2358054.867
94,1686149.7547,2358119.0877
95,1688817.3032,2354237.124
96,1690289.7761,2353111.1404
97,1689895.441,2353023.3748
98,1687781.483,2353859.0616
99,1692214.0213,2350575.7002
100,1688195.9021,2352605.2262
101,1690174.7751,2371579.5398
102,1691003.5901,2370811.0594
103,1689151.7215,2373878.9295
104,1689591.7145,2373704.7335
