"fromedge","toedge"
2,1
3,2
4,3
5,4
6,7
7,5
8,6
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,102
31,30
32,31
33,32
34,33
35,22
36,35
37,36
38,39
39,99
40,9
41,40
42,32
43,42
44,43
45,46
46,4
47,103
48,10
49,6
50,49
51,50
52,51
53,1
54,5
55,11
56,55
57,55
58,15
59,19
60,23
61,60
62,60
63,25
64,30
65,31
66,33
67,43
68,42
69,68
70,68
71,29
72,71
73,102
74,26
75,24
76,99
77,37
78,77
79,78
80,77
81,78
82,36
83,35
84,21
85,17
86,8
87,49
88,50
89,51
90,89
91,103
92,45
93,92
94,93
95,3
96,2
97,101
98,100
99,98
100,97
101,37
102,29
103,45
