survey,water,year,nytme,nytmn,Detected
421012,Unnamed Water,2021,471383,4684605,0
421015,The Fly,2021,475793,4688474,0
422009,Butternut Creek,2022,480389,4710351,0
422009,Butternut Creek,2022,481630,4711059,0
422009,Butternut Creek,2022,489962,4730103,0
422009,Butternut Creek,2022,489988,4727439,1
422010,Trout Brook,2022,508508,4739390,0
422057,Susquehanna River,2022,496272,4699736,0
422066,Shadow Brook,2022,510717,4737117,0
423012,Lawyers Creek,2023,508658,4740018,0
423013,Shadow Brook,2024,510803,4737169,0
424044,Cherry Valley Creek,2024,509618,4720030,0
424044,Cherry Valley Creek,2024,515275,4727882,0
425024,Elk Creek,2025,512964,4710202,1
425024,Elk Creek,2025,513859,4711937,1
425024,Elk Creek,2025,514786,4718091,1
425024,Elk Creek,2025,514818,4716629,1
425036,Butternut Creek,2025,478780,4708051,1
425036,Butternut Creek,2025,480382,4710349,0
425036,Butternut Creek,2025,484151,4715140,1
425036,Butternut Creek,2025,486442,4721645,1
425036,Butternut Creek,2025,488124,4723711,1
425036,Butternut Creek,2025,489928,4727372,1
425036,Butternut Creek,2025,490025,4730027,1
425037,Otego Creek,2025,493165,4708758,1
425037,Otego Creek,2025,494369,4728259,1
425037,Otego Creek,2025,494726,4714686,1
425037,Otego Creek,2025,494849,4712102,1
425037,Otego Creek,2025,495560,4719601,0
425037,Otego Creek,2025,495929,4726045,1
425056,Hayden Creek,2025,509566,4740954,0
425101,Schenevus Creek,2025,512113,4709849,1
425101,Schenevus Creek,2025,515387,4710655,1
621213,Unadilla River,2021,484195,4747831,1
621213,Unadilla River,2021,487330,4748536,1
721011,Wylie Brook,2021,446831,4680112,1
721011,Wylie Brook,2021,447122,4682012,1
721012,Unnamed Water,2021,448592,4676319,1
721013,Unnamed Water,2021,426734,4734030,1
721013,Unnamed Water,2021,427839,4733177,1
721023,Unnamed Water,2021,415063,4712981,0
721031,Pony Hollow Creek,2021,360738,4682985,0
721031,Pony Hollow Creek,2021,363640,4690845,0
722009,Otselic River,2022,427556,4712965,0
722009,Otselic River,2022,437807,4725603,0
722016,Unnamed Water,2022,402098,4696563,1
722020,Unnamed Water,2022,447543,4679764,1
722021,Unnamed Water,2022,448597,4676334,1
722022,Unnamed Water,2022,446201,4681769,1
722023,Unnamed Water,2022,417776,4651265,1
722024,Chaffee Creek,2022,363004,4685991,0
722037,Unnamed Water,2022,413209,4684977,0
722038,Unnamed Water,2022,413832,4684066,0
722039,Unnamed Water,2022,427072,4692697,0
722042,Little Choconut Creek,2022,420932,4672500,0
722043,Stratton Mill Creek,2022,431167,4662398,0
722044,Bucks Brook,2022,437422,4726021,1
722045,Unnamed Water,2022,436169,4721712,1
722046,Unnamed Water,2022,436163,4730922,1
722047,Mann Brook,2022,436212,4730518,1
722052,Unnamed Water,2022,422313,4667842,0
722052,Unnamed Water,2022,422367,4668182,0
722056,Susquehanna River,2022,410177,4659450,0
722056,Susquehanna River,2022,428239,4661479,0
723008,Fabius Brook,2023,418431,4742822,1
723008,Fabius Brook,2023,419231,4741822,1
723008,Fabius Brook,2023,420532,4740622,1
723008,Fabius Brook,2023,421032,4739922,1
723010,Otselic River,2023,427556,4712965,1
723010,Otselic River,2023,428944,4714811,0
723010,Otselic River,2023,437807,4725603,1
723011,East Branch Owego Creek,2023,401331,4690322,0
723011,East Branch Owego Creek,2023,401431,4688422,0
723011,East Branch Owego Creek,2023,401631,4691922,1
723011,East Branch Owego Creek,2023,401831,4694522,1
723014,Choconut Creek,2023,412188,4660196,0
723015,Chenango River,2023,449933,4745363,1
723016,Callahan Brook,2023,447505,4748476,1
723020,Susquehanna River,2023,378617,4654070,0
723020,Susquehanna River,2023,378689,4654005,0
723020,Susquehanna River,2023,410847,4659775,0
723020,Susquehanna River,2023,428019,4661388,0
724011,Susquehanna River,2024,405338,4657941,0
724011,Susquehanna River,2024,419918,4661801,0
724013,Dudley Creek,2024,411032,4690222,1
724013,Dudley Creek,2024,412618,4690091,0
724024,Wylie Brook,2024,446774,4679944,1
724027,Otselic Creek,2024,439964,4735344,1
724028,Unnamed Water,2024,445537,4676225,1
724028,Unnamed Water,2024,445685,4676160,1
724028,Unnamed Water,2024,449081,4673674,1
724029,Unnamed Water,2024,446312,4680002,1
724030,Unnamed Water,2024,446220,4681680,1
724031,Unnamed Water,2024,445929,4681773,1
724035,Unnamed Water,2024,447544,4679738,1
724037,Unnamed Water,2024,445308,4676358,1
724037,Unnamed Water,2024,445320,4676402,1
724039,Unnamed Water,2024,448594,4676318,1
725011,Genegantslet Creek,2025,434974,4696968,0
725011,Genegantslet Creek,2025,436542,4699057,0
725011,Genegantslet Creek,2025,437837,4701597,0
725011,Genegantslet Creek,2025,439916,4709424,1
725012,East Branch Owego Creek,2025,402168,4694044,0
725015,Susquehanna River,2025,395288,4661311,0
725015,Susquehanna River,2025,405338,4657941,0
725015,Susquehanna River,2025,410868,4659771,0
725015,Susquehanna River,2025,419918,4661801,0
725015,Susquehanna River,2025,433550,4654280,0
725025,Wylie Brook,2025,448466,4675744,1
725027,Little Snake Creek,2025,433624,4653155,1
725029,Landers Creek,2025,421846,4695298,0
725029,Landers Creek,2025,422499,4695925,1
725031,Factory Brook,2025,398540,4728196,1
725031,Factory Brook,2025,401468,4722779,1
725031,Factory Brook,2025,403130,4722214,1
725034,Chenango River,2025,447453,4748564,0
725034,Chenango River,2025,447857,4747956,0
725035,Cheningo Creek,2025,419470,4721867,0
725035,Cheningo Creek,2025,420486,4720823,0
725037,Fly Meadow Creek,2025,449404,4707624,0
725037,Fly Meadow Creek,2025,449988,4706722,0
725037,Fly Meadow Creek,2025,451636,4702273,0
725037,Fly Meadow Creek,2025,452770,4701133,1
725049,West Branch Owego Creek,2025,397275,4687250,1
725049,West Branch Owego Creek,2025,397893,4690484,1
821012,Cohocton River,2021,299412,4700766,0
821012,Cohocton River,2021,299545,4699917,0
821017,Sing Sing Creek,2021,342370,4667111,0
823015,Cayuta Creek,2023,358810,4683845,0
823015,Cayuta Creek,2023,361278,4681012,0
823015,Cayuta Creek,2023,367114,4676269,0
823015,Cayuta Creek,2023,368332,4674531,0
823018,Cohocton River,2023,299412,4700766,0
823018,Cohocton River,2023,299545,4699917,0
824013,Cohocton River,2024,292272,4718916,1
824013,Cohocton River,2024,292289,4714501,1
824013,Cohocton River,2024,296596,4709618,0
824013,Cohocton River,2024,296734,4703924,1
824013,Cohocton River,2024,299409,4700761,0
824013,Cohocton River,2024,299543,4699912,0
824013,Cohocton River,2024,302326,4696192,0
824013,Cohocton River,2024,306348,4692204,0
824043,Unnamed Water,2024,285017,4698574,1
825025,Neil Creek,2025,296880,4699762,0
