Name,Longitude,Latitude,Date,Temp (C) (V1),Temp >15C,DO (mg/L) (V3),Stream Width >5m,Max Depth (m) (V4),% In-Stream Cover (V6),Avg % Cobble (V8),Dominant Substrate Type (V9),% Pools (V10),Vegetation Index (V11),% Streamside Vegetation (V12),pH (V13),Pool Class (V15),Avg % Embeddedness (V16),Avg % Canopy Cover (V17),V1,V3,V4,V6(A),V6(B),V8,V9,V10,V11,V12,V13,V15,V16 (B),V17
MB-PonyFarm(1),-75.12034,42.4352,7/25/2026,19.744,yes,5.33,yes,,70,0,,0,150,90,7.44,C,,10,0.8,0,1,1,1,0,,0.3,1,1,1,0.3,0.393548387,0.4
MB-8,-75.11199,42.45789,7/25/2026,19.5,yes,5.4,no,1.4,50,9.166666667,,0,160,90,7.46,,,29.57083333,0.8,0.1,1,1,1,1,,0.3,1,1,1,,0.393548387,0.7
Trib-GreaterPlains,-75.08841,42.45914,7/25/2026,17.64,yes,5.23,no,0.1,30,37.5,B,43.90243902,155,90,6.92,C,50,52.70916667,0.9,0.1,0.2,1,1,1,0.6,1,1,1,1,0.3,0.3,1
MB-23(1),-75.10938,42.47117,7/25/2026,22.54,yes,5.16,yes,1.5,20,31.66666667,A,50,135,90,7.87,A,45,24.455,0.3,0.1,1,1,1,1,1,1,1,1,1,1,0.4,0.6
Trib-Forest(1),-75.11098,42.47721,7/25/2026,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trib-Spur,-75.1438,42.48153,7/25/2026,19.53,yes,5.47,yes,1.5,60,56.66666667,A,20.21276596,100,80,7.56,,28.33333333,59.55666667,0.8,0.1,1,1,1,1,1,0.8,0.8,1,1,,0.7,1
HC-23(5),-75.136,42.51,7/21/2026,19.37,yes,9.07,no,0.6,40,52.5,A,24.29906542,115,80,7.97,C,35,59.4775,0.8,1,1,1,1,1,1,0.9,0.9,1,1,0.3,0.6,1
MB-11A(1),-75.08435,42.5322,7/15/2026,20.191,yes,8.81,yes,1.4,10,39.16666667,B,55.37190083,85,60,7.9,A,35,33.5875,0.5,1,1,0.9,0.7,1,0.6,1,0.7,0.9,1,1,0.6,0.8
WC-New 2,-75.13026,42.53248,7/21/2026,17.55,yes,8.91,yes,1.8,30,46.66666667,A,37.80487805,110,80,7.5,B,40,41.53416667,0.9,1,1,1,1,1,1,1,0.8,1,1,0.6,0.5,0.8
Trib-StateLand,-75.03863,42.56437,7/14/2026,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trib-11,-75.069,42.567,7/2/2026,18.65,yes,7.36,no,0.8,60,34.54545455,C,26.7,190,100,8.40,C,50,65.03583333,0.9,0.8,1,1,1,1,0.3,0.9,1,1,0.7,0.3,0.3,1
KB-205(1),-75.05496,42.57248,7/15/2026,14.108,no,8.5,yes,0.4,70,40.83333333,A,44.11764706,185,100,7.43,C,20,62.73583333,1.0,1,0.9,1,1,1,1,1,1,1,1,0.3,0.9,1
